UAI,Lat -WGS84,Lon – WGS84,,
0761377J,49,60437972,0,630671693
0761380M,49,63919438,0,635012404
0761381N,49,61608129,0,621272835
0761382P,49,67932304,0,657262438
0761383R,49,66027457,0,669736971
0761384S,49,61390711,0,59322927
0761385T,49,6527294,0,537413961
0761387V,49,69455927,0,596916512
0761388W,49,6352772,0,607258596
0761395D,49,82228612,0,792628367
0761396E,49,8288998,0,791224054
0761397F,49,78041226,0,782094157
0761399H,49,79470679,0,822040704
0761400J,49,78539121,0,866280962
0761401K,49,86108556,0,849041859
0761402L,49,79450897,0,898772917
0761403M,49,79772724,0,786974436
0761407S,49,81433818,0,802873705
0761411W,49,88262661,0,829809781
0761412X,49,61425952,1,54059953
0761415A,49,64576344,1,531906163
0761416B,49,68478304,1,563114358
0761421G,49,60929783,1,572565809
0761422H,49,65167379,1,618129959
0761427N,49,58301142,1,665231464
0761429R,49,6713099,1,516638156
0761430S,49,6159828,1,463273905
0761433V,49,57832041,1,617338559
0761439B,49,66623417,0,457193552
0761440C,49,67739945,0,432848632
0761445H,49,67420027,0,492867941
0761447K,49,62809896,0,398959052
0761451P,49,6955536,0,476262892
0761452R,49,65047664,0,325217973
0761454T,49,65752301,0,416193767
0761458X,49,69093375,0,406538131
0761459Y,49,65464247,0,466350381
0761462B,49,66688466,0,343449557
0761463C,49,66757404,0,49869674
0761464D,49,62488069,0,446714826
0761466F,49,4855079,0,88061783
0761469J,49,46330831,0,883024792
0761470K,49,43403418,0,92640548
0761471L,49,47275291,0,901190229
0761472M,49,52543454,0,83463028
0761473N,49,47960725,0,957731718
0761479V,49,41203172,0,860054103
0761480W,49,41410634,0,945507552
0761483Z,49,51051755,0,881047496
0761487D,49,50103004,0,931551358
0761489F,49,51038455,0,838223159
0761494L,49,49764269,0,791978656
0761501U,49,39997183,0,881284686
0761502V,49,28592141,1,430042
0761503W,49,28640461,1,4754631
0761507A,49,28042336,1,902948
0761510D,49,28487742,1,21779168
0761512F,49,28456841,1,216343
0761513G,49,28243048,1,15363023
0761515J,49,28273165,1,21218065
0761516K,49,28152313,1,16346313
0761518M,49,31060992,1,78945625
0761522S,49,31048743,0,996166021
0761523T,49,29780966,1,10646974
0761526W,49,27599702,1,439237
0761527X,49,27712995,1,39982999
0761528Y,49,27742118,1,39698441
0761529Z,49,32042845,1,123982154
0761531B,49,32983433,1,106331585
0761533D,49,29309424,0,998306599
0761534E,49,28904294,0,998833443
0761537H,50,4806889,1,425376122
0761539K,49,98512391,1,409319658
0761540L,49,9829807,1,34848086
0761544R,49,95976602,1,399399228
0761545S,50,2934373,1,385387813
0761546T,50,3696455,1,36243446
0761552Z,49,95814229,1,474433953
0761553A,49,97465184,1,49062243
0761555C,49,9950604,1,450894434
0761558F,49,97773735,1,370192194
0761561J,50,875333,1,395395036
0761562K,49,95437321,1,420807342
0761564M,50,186872,1,323665186
0761566P,50,5888227,1,372751939
0761567R,50,5951506,1,374743861
0761568S,49,94276326,1,450155369
0761569T,49,76224137,0,375488182
0761570U,49,76224137,0,375488182
0761573X,49,75258226,0,393509429
0761574Y,49,74063471,0,332053849
0761577B,49,72451559,0,332474087
0761578C,49,73488893,0,412540508
0761579D,49,69569367,0,326222451
0761580E,49,69952985,0,284721491
0761581F,49,69952985,0,284721491
0761583H,49,7395661,0,358547718
0761586L,49,77305704,0,414956017
0761587M,49,71496079,0,399748424
0761588N,49,72753801,0,27984565
0761589P,49,73801587,0,314382269
0761591S,49,75601759,0,37030853
0761596X,49,92036402,1,400356756
0761600B,49,98102615,1,254602
0761602D,49,8596089,1,199953375
0761605G,49,8265831,1,234037778
0761612P,49,85184328,1,293841453
0761613R,49,98068863,1,233698772
0761614S,49,81001241,1,274045151
0761616U,49,8688378,1,18002646
0761617V,49,8471565,1,264657216
0761618W,49,95678012,1,219789449
0761619X,49,87924021,1,21944444
0761621Z,49,87510952,1,210592532
0761622A,49,87377218,1,248958432
0761625D,49,92165882,1,200537255
0761627F,49,94339872,1,265501906
0761628G,49,66335337,1,218559398
0761651G,49,47605175,0,816693565
0761729S,49,28423589,1,819795
0761754U,49,50332002,0,23301912
0761755V,49,83142074,0,921438846
0761756W,49,40816386,1,96838567
0761761B,49,4827018,0,878301962
0761762C,49,50937873,0,182628664
0761763D,49,9249586,1,97160723
0761764E,49,48906332,0,571498835
0761766G,49,50998917,0,83533793
0761878D,49,56087503,0,330628375
0761879E,49,7728001,1,749766008
0761880F,49,57858535,0,481262336
0761881G,49,92617869,1,74076885
0761882H,49,88846864,1,430813757
0761885L,49,40494253,1,49650985
0761889R,49,51501577,0,91251614
0761892U,49,47768714,0,766525152
0761897Z,49,45044671,1,142782851
0761898A,49,30204335,1,18804407
0761899B,49,30177686,1,1894939
0761900C,49,64253186,0,165980312
0761901D,49,49647643,0,319075182
0761902E,49,81771411,0,637149047
0761933N,49,44487934,1,138124701
0761934P,49,44994592,1,142956745
0761935R,49,47496566,1,52982782
0761936S,49,74521728,0,369186541
0761937T,49,51745442,0,169770944
0761941X,49,51807285,0,11330994
0761960T,49,54649188,0,193281381
0761961U,49,4566235,1,90033261
0761963W,49,73400389,1,444126283
0761964X,49,3396182,1,96953884
0761965Y,49,56965391,0,952250858
0761968B,49,44962648,1,100511156
0761970D,49,44303087,1,102508364
0761971E,49,45084069,1,93677464
0761975J,49,44913252,1,10398645
0761976K,49,45123691,1,62954513
0761978M,49,44171498,1,9634414
0761979N,49,42689312,1,79167542
0761980P,49,44232757,1,103870328
0761981R,49,44864488,1,85394033
0761982S,49,50379968,0,87976809
0761984U,49,29732297,1,106891
0761985V,49,38673983,1,10495418
0761988Y,49,67390095,1,284229968
0761989Z,49,86672633,0,711558402
0761992C,49,61936205,0,755726148
0761995F,49,77049366,1,753646075
0761996G,49,78618702,0,995424381
0761997H,49,45830757,1,113620091
0761998J,49,45535643,1,11682302
0761999K,49,46607407,1,115567251
0762000L,49,57184001,0,469110099
0762001M,49,57510282,0,486499251
